timestamp,goal_brew_temp,brew_temp,ambient_temp,top_temp,bottom_temp,cooler_on,heater_on,fan_on,stage_name
2025-02-06 18:38:07,17.00,-99.99,24.12,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:09,17.00,-99.99,24.06,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:12,17.00,-99.99,24.12,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:14,17.00,-99.99,24.12,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:16,17.00,-99.99,24.12,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:18,17.00,-99.99,24.12,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:21,17.00,-99.99,24.12,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:23,17.00,-99.99,24.06,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:25,17.00,-99.99,24.06,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:28,17.00,-99.99,24.12,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:30,17.00,-99.99,24.06,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:32,17.00,-99.99,24.06,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:35,17.00,-99.99,24.06,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:37,17.00,-99.99,24.06,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:39,17.00,-99.99,24.06,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:38:41,17.00,-99.99,24.00,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:39:17,17.00,-99.99,24.00,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:39:19,17.00,-99.99,24.00,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:39:22,17.00,-99.99,24.00,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:39:24,17.00,-99.99,24.00,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:39:26,17.00,-99.99,24.00,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:39:28,17.00,-99.99,24.00,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:39:31,17.00,-99.99,24.00,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:39:33,17.00,-99.99,23.94,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:39:35,17.00,-99.99,24.00,-99.99,-99.99,0,0,0,Primary
2025-02-06 18:39:38,17.00,-99.99,24.00,-99.99,-99.99,0,0,0,Primary
2025-02-07 09:25:08,17.00,20.69,20.38,21.38,20.38,0,0,0,Primary
2025-02-07 09:25:13,17.00,20.75,20.44,21.31,20.38,0,0,0,Primary
2025-02-07 09:25:17,17.00,20.75,20.44,21.38,20.38,0,0,0,Primary
2025-02-07 09:25:22,17.00,20.75,20.44,21.31,20.44,0,0,0,Primary
2025-02-07 09:25:27,17.00,20.75,20.44,21.38,20.44,0,0,0,Primary
2025-02-07 09:25:31,17.00,20.69,20.44,21.38,20.44,0,0,0,Primary
2025-02-07 09:25:36,17.00,20.69,20.50,21.38,20.44,0,0,0,Primary
2025-02-07 09:25:40,17.00,20.62,20.44,21.38,20.50,0,0,0,Primary
2025-02-07 09:25:45,17.00,20.62,20.44,21.38,20.44,0,0,0,Primary
2025-02-07 09:25:50,17.00,20.62,20.44,21.38,20.44,0,0,0,Primary
2025-02-07 09:25:55,17.00,20.62,20.50,21.38,20.44,0,0,0,Primary
2025-02-07 09:26:00,17.00,20.56,20.44,21.38,20.44,0,0,0,Primary
2025-02-07 09:26:04,17.00,20.62,20.44,21.38,20.44,0,0,0,Primary
2025-02-07 09:26:09,17.00,20.56,20.44,21.38,20.44,0,0,0,Primary
2025-02-07 09:26:14,17.00,20.56,20.44,21.38,20.44,0,0,0,Primary
2025-02-07 09:26:18,17.00,20.56,20.38,21.38,20.44,0,0,0,Primary
2025-02-07 09:26:23,17.00,20.50,20.44,21.38,20.44,0,0,0,Primary
2025-02-07 09:26:28,17.00,20.50,20.44,21.38,20.50,0,0,0,Primary
2025-02-07 09:26:33,17.00,20.50,20.44,21.44,20.44,0,0,0,Primary
2025-02-07 09:26:37,17.00,20.50,20.44,21.44,20.44,0,0,0,Primary
2025-02-07 09:26:42,17.00,20.44,20.44,21.38,20.44,0,0,0,Primary
2025-02-07 09:26:46,17.00,20.44,20.44,21.44,20.44,0,0,0,Primary
2025-02-07 09:26:51,17.00,20.44,20.44,21.38,20.50,0,0,0,Primary
2025-02-07 09:26:56,17.00,20.50,20.44,21.44,20.44,0,0,0,Primary
